Code,Disorder_Name
6A00,- - Disorders of intellectual development
6A00.0,"- - - Disorder of intellectual development, mild"
6A00.1,"- - - Disorder of intellectual development, moderate"
6A00.2,"- - - Disorder of intellectual development, severe"
6A00.3,"- - - Disorder of intellectual development, profound"
6A00.4,"- - - Disorder of intellectual development, provisional"
6A00.Z,"- - - Disorders of intellectual development, unspecified"
6A01,- - Developmental speech or language disorders
6A01.0,- - - Developmental speech sound disorder
6A01.1,- - - Developmental speech fluency disorder
6A01.2,- - - Developmental language disorder
6A01.20,- - - - Developmental language disorder with impairment of receptive and expressive language
6A01.21,- - - - Developmental language disorder with impairment of mainly expressive language
6A01.22,- - - - Developmental language disorder with impairment of mainly pragmatic language
6A01.23,"- - - - Developmental language disorder, with other specified language impairment"
6A01.Y,- - - Other specified developmental speech or language disorders
6A01.Z,"- - - Developmental speech or language disorders, unspecified"
6A02,- - Autism spectrum disorder
6A02.0,- - - Autism spectrum disorder without disorder of intellectual development and with mild or no impairment of functional language
6A02.1,- - - Autism spectrum disorder with disorder of intellectual development and with mild or no impairment of functional language
6A02.2,- - - Autism spectrum disorder without disorder of intellectual development and with impaired functional language
6A02.3,- - - Autism spectrum disorder with disorder of intellectual development and with impaired functional language
6A02.5,- - - Autism spectrum disorder with disorder of intellectual development and with absence of functional language
6A02.Y,- - - Other specified autism spectrum disorder
6A02.Z,"- - - Autism spectrum disorder, unspecified"
6A03,- - Developmental learning disorder
6A03.0,- - - Developmental learning disorder with impairment in reading
6A03.1,- - - Developmental learning disorder with impairment in written expression
6A03.2,- - - Developmental learning disorder with impairment in mathematics
6A03.3,- - - Developmental learning disorder with other specified impairment of learning
6A03.Z,"- - - Developmental learning disorder, unspecified"
6A04,- - Developmental motor coordination disorder
6A05,- - Attention deficit hyperactivity disorder
6A05.0,"- - - Attention deficit hyperactivity disorder, predominantly inattentive presentation"
6A05.1,"- - - Attention deficit hyperactivity disorder, predominantly hyperactive-impulsive presentation"
6A05.2,"- - - Attention deficit hyperactivity disorder, combined presentation"
6A05.Y,"- - - Attention deficit hyperactivity disorder, other specified presentation"
6A05.Z,"- - - Attention deficit hyperactivity disorder, presentation unspecified"
6A06,- - Stereotyped movement disorder
6A06.0,- - - Stereotyped movement disorder without self-injury
6A06.1,- - - Stereotyped movement disorder with self-injury
6A06.Z,"- - - Stereotyped movement disorder, unspecified"
6A0Y,- - Other specified neurodevelopmental disorders
6A0Z,"- - Neurodevelopmental disorders, unspecified"
6A20,- - Schizophrenia
6A20.0,"- - - Schizophrenia, first episode"
6A20.00,"- - - - Schizophrenia, first episode, currently symptomatic"
6A20.01,"- - - - Schizophrenia, first episode, in partial remission"
6A20.02,"- - - - Schizophrenia, first episode, in full remission"
6A20.0Z,"- - - - Schizophrenia, first episode, unspecified"
6A20.1,"- - - Schizophrenia, multiple episodes"
6A20.10,"- - - - Schizophrenia, multiple episodes, currently symptomatic"
6A20.11,"- - - - Schizophrenia, multiple episodes, in partial remission"
6A20.12,"- - - - Schizophrenia, multiple episodes, in full remission"
6A20.1Z,"- - - - Schizophrenia, multiple episodes, unspecified"
6A20.2,"- - - Schizophrenia, continuous"
